GeneID,RTproportion,sampleType
ENSG00000091947.10,2.125451225,control
ENSG00000089682.16,66.90646074,control
ENSG00000089050.16,2.719684107,control
ENSG00000089048.15,45.25596456,control
ENSG00000086232.13,0.565930131,control
ENSG00000082438.18,1.993366827,control
ENSG00000080839.12,22.7603504,control
ENSG00000080824.19,0.049501355,control
ENSG00000073792.16,4.46750459,control
ENSG00000049541.11,14.15860007,control
ENSG00000048544.6,5.528554663,control
ENSG00000036549.13,17.66463373,control
ENSG00000000419.13,3.614384827,control
ENSG00000002586.20,6.143937006,control
ENSG00000006042.12,0.726856549,control
ENSG00000054523.18,8.445410986,control
ENSG00000061656.11,13.28017993,control
ENSG00000065135.12,2.096360824,control
ENSG00000072210.19,0.223401901,control
ENSG00000081791.9,3.020325203,control
ENSG00000082641.16,0.231791989,control
ENSG00000085274.16,4.900914129,control
ENSG00000087302.9,0.659866892,control
ENSG00000092203.15,0.332501881,control
ENSG00000092931.11,8.423609276,control
ENSG00000093217.11,19.25337685,control
ENSG00000100867.15,0.021131431,control
ENSG00000100902.11,0.781999075,control
ENSG00000100941.9,0.127826959,control
ENSG00000101109.12,9.720296242,control
ENSG00000101367.9,2.909736099,control
ENSG00000102858.13,7.007130353,control
ENSG00000102931.8,3.582739688,control
ENSG00000103018.17,1.577624653,control
ENSG00000103222.20,6.299399537,control
ENSG00000106605.11,6.530135019,control
ENSG00000108010.12,1.081164379,control
ENSG00000113328.19,0.157145903,control
ENSG00000115234.11,0.865439495,control
ENSG00000118271.12,0.377063644,control
ENSG00000118363.12,5.859740886,control
ENSG00000118579.13,4.225388343,control
ENSG00000119231.11,5.362671119,control
ENSG00000119318.13,1.560207877,control
ENSG00000119906.13,5.257888683,control
ENSG00000123124.14,4.945748832,control
ENSG00000124104.19,34.30095546,control
ENSG00000124549.14,33.72507641,control
ENSG00000125753.14,0.554026841,control
ENSG00000126464.14,22.87772993,control
ENSG00000127366.5,26.35899722,control
ENSG00000127995.17,3.877499888,control
ENSG00000128590.5,0.298187044,control
ENSG00000130204.13,1.864484934,control
ENSG00000130429.15,4.816636871,control
ENSG00000130703.17,6.023206572,control
ENSG00000131037.15,10.00722625,control
ENSG00000132300.19,0.740853387,control
ENSG00000132600.17,10.11615267,control
ENSG00000133226.17,0.866064562,control
ENSG00000134108.14,1.33724458,control
ENSG00000135372.9,3.259498343,control
ENSG00000135632.12,0.636762493,control
ENSG00000136436.15,3.756454734,control
ENSG00000138459.9,28.1571001,control
ENSG00000139405.16,5.166713714,control
ENSG00000140941.14,3.022064274,control
ENSG00000141560.15,4.50789168,control
ENSG00000142484.7,21.24145254,control
ENSG00000142949.17,0.925822414,control
ENSG00000143079.15,16.462134,control
ENSG00000143499.14,2.25445569,control
ENSG00000144306.15,22.63370231,control
ENSG00000144357.18,1.998835178,control
ENSG00000144867.13,6.127573817,control
ENSG00000146859.6,66.95749783,control
ENSG00000147457.14,2.954350364,control
ENSG00000150527.17,0.727433843,control
ENSG00000152767.17,0.286005528,control
ENSG00000154781.16,17.23176254,control
ENSG00000155975.10,6.72130121,control
ENSG00000156639.12,0.277611734,control
ENSG00000159579.14,1.182942048,control
ENSG00000161204.11,1.093511357,control
ENSG00000163714.18,0.625000403,control
ENSG00000164062.13,0.228750043,control
ENSG00000164171.11,9.482330051,control
ENSG00000164405.11,0.558180083,control
ENSG00000165898.14,1.764095833,control
ENSG00000166135.14,1.371659299,control
ENSG00000166900.17,3.91579164,control
ENSG00000167770.12,3.350677428,control
ENSG00000168397.17,0.512940728,control
ENSG00000169972.12,22.62683437,control
ENSG00000171227.7,8.236779337,control
ENSG00000171793.16,7.52152823,control
ENSG00000172809.13,0.008067747,control
ENSG00000173992.9,25.78120692,control
ENSG00000174327.7,25.00980285,control
ENSG00000175311.7,2.373879789,control
ENSG00000181450.18,27.78209407,control
ENSG00000185728.17,3.715804097,control
ENSG00000187017.17,24.67526446,control
ENSG00000188021.9,0.927331369,control
ENSG00000196233.14,0.327250792,control
ENSG00000196421.8,9.540146583,control
ENSG00000196586.16,12.32443363,control
ENSG00000197111.16,0.292982387,control
ENSG00000198431.16,0.568604138,control
ENSG00000204619.8,2.887895165,control
ENSG00000204876.4,52.91558248,control
ENSG00000205464.13,25.59906141,control
ENSG00000213928.9,6.411521123,control
ENSG00000219891.2,33.88960892,control
ENSG00000224063.6,47.69718116,control
ENSG00000230795.3,33.09733692,control
ENSG00000236017.8,67.03249909,control
ENSG00000236871.7,55.59854369,control
ENSG00000272447.1,33.90251532,control
ENSG00000274002.1,30.40322715,control
ENSG00000276698.1,23.18919698,control
ENSG00000278948.1,19.50813499,control
ENSG00000286156.1,11.173572,control
ENSG00000283828.1,40.77081201,control
ENSG00000280587.1,67.22416316,control
ENSG00000279756.1,58.98927286,control
ENSG00000278464.2,18.07463397,control
ENSG00000275223.1,55.48535199,control
ENSG00000263432.2,69.68207145,control
ENSG00000260233.3,54.25192126,control
ENSG00000242282.6,5.996440003,control
ENSG00000183527.12,0.552925822,control
ENSG00000231466.2,46.96459801,control
ENSG00000230882.1,43.25731043,control
ENSG00000230325.1,32.86113121,control
ENSG00000214425.8,54.66586955,control
ENSG00000214087.9,5.356848788,control
ENSG00000214078.13,0.04407341,control
ENSG00000205865.4,79.51922374,control
ENSG00000198380.13,8.095373907,control
ENSG00000198369.10,10.02153815,control
ENSG00000198168.9,9.283953113,control
ENSG00000197635.11,7.107202259,control
ENSG00000197043.14,5.483901034,control
ENSG00000196588.20,3.606745218,control
ENSG00000188825.14,2.123398434,control
ENSG00000187109.15,0.694030983,control
ENSG00000184277.13,4.34372049,control
ENSG00000183386.10,8.11017561,control
ENSG00000182400.15,6.93052512,control
ENSG00000180089.6,17.46816759,control
ENSG00000176142.13,0.259200221,control
ENSG00000175309.15,15.32944048,control
ENSG00000173726.11,1.237812459,control
ENSG00000172943.20,20.5463324,control
ENSG00000172667.11,34.73132383,control
ENSG00000171497.5,0.106417778,control
ENSG00000169856.9,76.46124292,control
ENSG00000168291.13,3.759224339,control
ENSG00000167393.18,3.103305624,control
ENSG00000167220.12,7.92646425,control
ENSG00000164885.13,1.153264457,control
ENSG00000164880.16,2.025637937,control
ENSG00000162959.14,9.970851882,control
ENSG00000162676.12,6.445466431,control
ENSG00000162191.14,0.096030689,control
ENSG00000158042.9,0.366730276,control
ENSG00000156171.15,1.796048899,control
ENSG00000154889.17,5.780010662,control
ENSG00000148965.10,2.336446089,control
ENSG00000148943.12,5.38243251,control
ENSG00000146282.18,0.698167456,control
ENSG00000145287.11,42.60531618,control
ENSG00000143970.17,4.823201135,control
ENSG00000143507.18,0.075292654,control
ENSG00000142867.14,0.779123009,control
ENSG00000141543.12,0.39786917,control
ENSG00000138442.10,0.537332489,control
ENSG00000137478.15,3.26465917,control
ENSG00000136861.18,0.455368267,control
ENSG00000136146.15,6.25706586,control
ENSG00000135446.17,0.242411603,control
ENSG00000132824.14,1.870788181,control
ENSG00000129187.15,3.099268474,control
ENSG00000128886.12,8.067449627,control
ENSG00000128159.12,5.032779321,control
ENSG00000123636.18,17.21052006,control
ENSG00000122566.22,0.052846447,control
ENSG00000122359.18,0.370560102,control
ENSG00000121931.16,5.590652201,control
ENSG00000119396.11,1.311543844,control
ENSG00000116649.10,2.578534404,control
ENSG00000115966.17,4.60082505,control
ENSG00000115942.9,0.795618137,control
ENSG00000115486.12,0.670706948,control
ENSG00000112249.14,1.322319008,control
ENSG00000112031.16,7.756534043,control
ENSG00000111339.12,5.330819567,control
ENSG00000111328.7,2.892608791,control
ENSG00000111300.10,6.642289887,control
ENSG00000108883.13,0.391355956,control
ENSG00000108861.9,1.46485568,control
ENSG00000108528.14,0.870560926,control
ENSG00000107929.15,3.699862527,control
ENSG00000107672.15,1.140392439,control
ENSG00000104231.11,2.20156311,control
ENSG00000103365.15,0.260350411,control
ENSG00000103335.22,0.798102967,control
ENSG00000102786.15,4.803279787,control
ENSG00000102572.15,3.064417497,control
ENSG00000101220.18,26.02384626,control
ENSG00000100418.8,1.884465358,control
ENSG00000092094.11,0.539937697,control
ENSG00000090534.20,3.660266388,control
ENSG00000089486.17,0.290688841,control
ENSG00000083520.15,0.766980639,control
ENSG00000078902.16,6.168296572,control
ENSG00000075826.17,11.15911156,control
ENSG00000072364.13,0.865746535,control
ENSG00000072110.15,0.738922882,control
ENSG00000070610.14,2.021425972,control
ENSG00000069329.18,0.049753977,control
